id,性别,年龄,收入,消费得分
422,Male,61,79,61
423,Male,27,64,24
424,Female,38,88,69
425,Female,60,20,76
426,Female,62,37,28
427,Male,56,48,37
428,Male,48,114,20
429,Female,40,68,55
430,Female,38,124,21
431,Female,31,28,43
432,Female,55,112,33
433,Female,62,67,86
434,Male,51,85,79
435,Male,60,122,31
436,Female,52,117,63
437,Male,25,102,78
438,Female,39,107,54
439,Female,41,121,68
440,Male,63,75,44
441,Female,49,100,41
442,Female,38,64,81
443,Male,35,98,23
444,Male,55,77,53
445,Male,23,71,73
446,Male,45,56,25
447,Male,22,130,55
448,Male,31,65,77
449,Male,38,95,45
450,Male,43,88,61
451,Female,59,19,41
452,Female,55,68,45
453,Female,33,119,53
454,Female,40,98,40
455,Male,22,127,53
456,Male,51,52,62
457,Female,39,116,72
458,Male,37,19,81
459,Male,20,103,74
460,Male,63,92,54
461,Female,45,87,40
462,Female,43,60,57
463,Female,24,81,83
464,Female,36,88,78
465,Female,38,23,79
466,Male,25,126,71
467,Male,33,37,80
468,Female,37,90,42
469,Female,62,40,73
470,Female,46,72,48
471,Male,25,110,33
472,Female,41,40,78
473,Female,63,17,50
474,Female,31,106,24
475,Male,57,57,46
476,Female,63,38,36
477,Female,57,27,31
478,Male,58,81,57
479,Female,18,100,42
480,Female,41,27,51
481,Female,19,111,41
482,Male,34,76,80
483,Male,27,40,24
484,Male,44,75,44
485,Male,35,93,68
486,Male,49,67,30
487,Male,46,90,49
488,Female,28,70,63
489,Male,43,82,49
490,Male,56,67,51
491,Male,56,45,50
492,Male,53,48,33
493,Male,29,85,52
494,Male,60,69,80
495,Male,53,32,40
496,Female,33,99,36
497,Female,20,115,78
498,Male,27,124,36
499,Female,29,100,60
500,Male,41,71,52
501,Female,48,109,85
502,Male,55,78,37
503,Female,55,21,38
504,Female,24,20,76
505,Male,34,129,56
506,Female,51,60,70
507,Female,48,130,62
508,Male,50,72,43
509,Female,54,89,50
510,Male,39,122,71
511,Female,23,113,28
512,Male,61,111,23
513,Male,47,26,66
514,Female,53,117,56
515,Male,20,102,40
516,Male,60,27,87
517,Female,19,85,36
518,Female,30,90,88
519,Female,46,54,89
520,Female,22,30,45
521,Male,22,90,79
522,Female,30,29,37
523,Female,35,125,72
524,Female,46,26,20
525,Male,53,91,85
526,Male,27,121,82
527,Female,20,114,20
528,Male,54,40,24
529,Female,43,69,31
530,Female,42,54,45
531,Female,35,90,74
532,Male,20,33,78
533,Male,31,95,79
534,Female,63,126,31
535,Female,52,93,66
536,Male,37,77,54
537,Male,53,130,74
538,Male,41,22,69
539,Female,19,28,65
540,Male,43,100,81
541,Male,36,82,67
542,Female,51,76,20
543,Male,33,124,87
544,Male,46,26,75
545,Male,60,87,67
546,Female,33,103,87
547,Male,41,116,30
548,Male,27,56,45
549,Female,47,73,35
550,Female,34,55,33
551,Male,51,92,31
552,Male,34,125,42
553,Female,32,30,52
554,Male,48,57,34
555,Male,34,51,46
556,Female,23,95,32
557,Female,24,128,84
558,Male,21,16,73
559,Male,44,82,59
560,Male,54,120,41
561,Female,37,96,74
562,Female,29,123,41
563,Female,22,114,73
564,Male,45,26,71
565,Male,28,84,63
566,Female,20,87,23
567,Male,41,31,57
568,Male,19,97,25
569,Female,20,70,81
570,Male,42,23,42
571,Male,50,21,64
572,Female,50,51,31
573,Female,59,56,43
574,Male,29,22,82
575,Female,46,32,78
576,Male,55,130,37
577,Male,21,67,27
578,Female,52,128,38
579,Male,55,104,22
580,Female,55,105,65
581,Female,45,70,74
582,Male,42,110,42
583,Female,31,33,84
584,Female,42,92,24
585,Female,21,35,20
586,Female,63,57,79
587,Female,55,82,22
588,Male,36,100,84
589,Female,59,65,27
590,Male,23,46,50
591,Male,56,54,82
592,Male,20,62,84
593,Male,49,82,22
594,Male,40,97,30
595,Female,26,59,72
596,Female,27,29,54
597,Female,35,102,66
598,Female,24,130,33
599,Female,49,20,39
600,Male,42,85,26
601,Male,19,37,79
602,Female,53,73,73
603,Female,41,85,76
604,Female,37,37,50
605,Male,53,36,58
606,Female,64,36,88
607,Female,41,46,29
608,Male,57,93,59
609,Male,44,36,42
610,Male,53,108,40
611,Male,60,18,36
612,Male,42,84,25
613,Female,19,109,65
614,Female,58,45,80
615,Female,35,121,66
616,Female,42,126,45
617,Male,32,51,28
618,Female,41,127,48
619,Female,18,61,54
620,Male,54,24,57
621,Female,55,124,20
622,Male,27,119,41
623,Female,18,58,43
624,Female,43,110,40
625,Male,33,100,64
626,Female,27,58,67
627,Male,55,26,43
628,Female,20,75,82
629,Male,58,92,24
630,Female,51,58,84
631,Male,56,67,34
632,Female,56,76,33
633,Female,21,118,73
634,Female,28,47,55
635,Male,61,52,64
636,Male,29,125,70
637,Female,32,85,76
638,Female,53,63,47
639,Male,43,108,70
640,Male,54,62,65
641,Female,25,124,35
642,Male,20,106,45
643,Female,57,52,37
644,Female,53,39,26
645,Male,54,113,88
646,Female,22,17,40
647,Male,54,43,46
648,Female,20,110,20
649,Female,36,72,45
650,Male,62,118,42
651,Female,40,101,87
652,Male,57,113,33
653,Female,49,35,21
654,Female,18,130,21
655,Female,63,17,81
656,Female,39,70,35
657,Female,63,103,24
658,Male,24,130,69
659,Male,30,111,76
660,Male,64,100,22
661,Male,34,90,61
662,Male,56,59,51
663,Male,21,49,26
664,Male,53,75,87
665,Male,56,53,74
666,Female,48,78,37
667,Female,52,93,72
668,Female,39,37,24
669,Male,20,55,80
670,Female,34,42,34
671,Female,19,47,51
672,Male,25,54,60
673,Female,38,68,37
674,Female,42,92,56
675,Female,42,56,24
676,Male,56,55,74
677,Male,38,18,38
678,Male,40,65,84
679,Female,19,89,47
680,Male,30,57,54
681,Male,64,47,87
682,Female,51,81,69
683,Male,63,110,47
684,Female,62,63,54
685,Male,40,35,44
686,Female,22,42,58
687,Male,54,68,80
688,Male,36,100,59
689,Female,25,102,20
690,Female,55,33,56
691,Female,39,53,88
692,Female,24,58,73
693,Female,61,117,64
694,Male,60,96,53
695,Female,45,24,76
696,Female,45,69,70
697,Female,44,122,44
698,Female,56,99,62
699,Male,41,44,64
700,Female,18,28,50
701,Male,49,123,40
702,Female,50,33,59
703,Female,49,128,28
704,Male,49,37,61
705,Male,46,94,74
706,Female,34,64,29
707,Female,18,25,62
708,Male,49,112,24
709,Male,22,30,55
710,Male,41,123,32
711,Male,62,54,80
712,Male,32,28,24
713,Male,54,73,37
714,Female,21,54,32
715,Male,55,75,49
716,Female,55,106,42
717,Male,33,125,88
718,Male,26,61,32
719,Male,26,57,52
720,Male,50,87,26
721,Female,25,91,80
722,Male,59,130,22
723,Male,27,72,62
724,Female,37,47,66
725,Male,21,19,88
726,Female,37,40,53
727,Female,26,77,52
728,Female,48,110,51
729,Male,24,111,59
730,Female,52,66,51
731,Male,49,42,82
732,Female,20,85,47
733,Male,37,76,56
734,Male,60,66,20
735,Female,58,116,40
736,Male,33,31,64
737,Female,52,57,48
738,Male,52,95,28
739,Female,52,106,48
740,Female,56,61,65
741,Male,36,122,22
742,Male,51,74,29
743,Female,22,123,20
744,Male,60,37,52
745,Female,51,27,70
746,Female,45,50,21
747,Male,32,40,87
748,Female,40,110,44
749,Male,64,88,20
750,Female,37,107,50
751,Female,21,67,36
752,Female,58,105,71
753,Female,22,96,39
754,Male,20,60,22
755,Male,39,105,45
756,Female,18,68,64
757,Female,63,74,38
758,Female,22,34,27
759,Male,49,75,31
760,Male,41,103,56
761,Male,32,74,34
762,Male,62,30,25
763,Female,61,46,25
764,Male,31,23,30
765,Female,60,85,55
766,Male,27,42,81
767,Male,46,98,46
768,Female,28,32,28
769,Male,27,109,28
770,Female,64,50,63
771,Male,45,122,73
772,Male,26,107,55
773,Male,30,106,82
774,Female,26,53,27
775,Female,18,31,23
776,Female,50,17,76
777,Male,63,47,56
778,Male,39,100,53
779,Male,46,66,75
780,Female,59,110,78
781,Male,29,112,34
782,Female,26,48,26
783,Male,61,18,85
784,Male,23,126,68
785,Female,42,102,71
786,Female,22,23,70
787,Male,64,79,84
788,Female,52,125,88
789,Female,54,86,52
790,Male,27,63,20
791,Female,63,126,51
792,Female,56,23,29
793,Male,37,94,34
794,Male,57,121,46
795,Female,56,56,78
796,Female,42,25,79
797,Female,45,56,41
798,Female,41,71,29
799,Female,40,126,52
800,Male,54,105,73
801,Female,62,91,27
802,Male,24,66,59
803,Male,37,23,50
804,Female,55,38,41
805,Male,50,68,21
806,Female,30,69,79
807,Female,31,35,77
808,Male,26,115,31
809,Female,63,59,40
810,Male,53,37,35
811,Female,44,77,47
812,Female,21,16,38
813,Female,22,78,37
814,Female,39,78,79
815,Female,49,76,89
816,Female,48,55,34
817,Female,22,103,42
818,Male,60,27,57
819,Male,51,38,78
820,Female,44,54,35
821,Male,32,55,27
822,Female,63,65,37
823,Male,39,90,60
824,Female,53,99,83
825,Female,43,96,49
826,Female,59,38,48
827,Male,26,20,23
828,Female,46,126,60
829,Male,46,114,84
830,Male,41,102,53
831,Female,31,53,59
832,Male,49,59,28
833,Female,61,55,59
834,Female,55,64,35
835,Female,63,115,68
836,Female,23,109,36
837,Female,25,84,25
838,Female,47,71,33
839,Male,61,105,84
840,Female,57,81,22
841,Male,26,39,75
842,Male,45,28,40
843,Female,31,79,30
844,Male,47,130,32
845,Female,50,49,62
846,Female,30,61,49
847,Female,38,60,21
848,Female,21,47,68
849,Male,22,68,49
850,Male,23,110,67
851,Male,59,38,35
852,Female,59,24,68
853,Female,62,48,43
854,Female,29,97,67
855,Male,22,74,87
856,Female,48,70,77
857,Male,25,90,65
858,Female,49,23,35
859,Female,25,84,56
860,Female,51,15,21
861,Female,42,37,44
862,Female,29,98,28
863,Female,20,102,69
864,Female,19,98,55
865,Female,30,74,47
866,Male,33,93,50
867,Female,31,23,26
868,Male,57,124,83
869,Male,19,71,44
870,Female,35,108,56
871,Male,29,33,59
872,Male,20,63,34
873,Male,60,36,89
874,Male,29,111,70
875,Male,60,31,65
876,Female,18,89,46
877,Female,36,25,30
878,Female,62,17,69
879,Male,32,49,88
880,Female,46,107,32
881,Female,31,90,27
882,Female,59,70,78
883,Male,35,93,56
884,Male,36,50,82
885,Female,26,15,45
886,Female,59,103,70
887,Male,34,42,48
888,Female,50,121,24
889,Male,41,76,45
890,Female,31,107,64
891,Female,52,120,88
892,Female,63,20,73
893,Male,59,22,41
894,Female,27,64,39
895,Female,30,49,65
896,Male,51,17,26
897,Female,22,30,20
898,Male,19,62,37
899,Female,21,91,49
900,Male,46,25,35
901,Female,59,93,76
902,Male,47,55,59
903,Female,54,104,72
904,Male,63,122,64
905,Female,63,65,31
906,Female,62,95,42
907,Male,56,90,85
908,Female,25,38,42
909,Male,24,99,50
910,Male,63,92,85
911,Female,28,107,27
912,Female,35,30,80
913,Male,47,21,68
914,Female,64,43,54
915,Female,48,60,68
916,Male,28,106,43
917,Male,57,48,85
918,Female,34,22,47
919,Female,33,111,26
920,Male,56,17,60
921,Male,36,124,62
922,Male,48,67,51
923,Female,30,102,52
924,Male,30,22,22
925,Male,30,126,55
926,Male,54,67,44
927,Female,32,42,45
928,Female,25,118,36
929,Female,41,92,26
930,Female,30,130,81
931,Male,35,34,54
932,Female,37,65,65
933,Female,21,114,82
934,Male,42,57,51
935,Female,30,59,83
936,Female,44,42,38
937,Female,29,38,80
938,Female,37,59,67
939,Male,44,96,45
940,Female,30,96,36
941,Female,56,114,23
942,Male,63,88,38
943,Male,54,72,82
944,Female,25,40,59
945,Male,46,61,62
946,Male,56,48,83
947,Male,58,121,52
948,Male,28,46,79
949,Female,24,96,71
950,Female,27,79,70
951,Female,51,88,64
952,Male,52,36,46
953,Male,53,33,43
954,Male,26,17,80
955,Male,59,39,88
956,Male,55,122,55
957,Male,62,88,52
958,Female,29,80,33
959,Male,37,107,45
960,Female,44,19,22
961,Male,25,108,21
962,Male,39,111,63
963,Male,61,58,55
964,Female,28,91,33
965,Male,57,91,32
966,Male,49,76,85
967,Female,46,128,77
968,Female,37,55,20
969,Male,53,128,42
970,Female,23,121,20
971,Male,40,73,41
972,Female,28,27,23
973,Male,60,66,20
974,Female,30,118,84
975,Male,28,32,41
976,Female,21,83,70
977,Male,22,95,86
978,Female,56,114,20
979,Female,62,38,80
980,Female,55,115,75
981,Female,39,27,76
982,Female,22,105,64
983,Female,36,93,27
984,Male,21,68,55
985,Female,22,130,81
986,Female,53,103,27
987,Female,19,16,69
988,Male,48,124,31
989,Female,46,15,80
990,Male,22,113,35
991,Female,25,48,39
992,Female,56,16,38
993,Male,64,103,48
994,Female,52,60,77
995,Female,52,121,48
996,Female,48,51,47
997,Male,64,117,87
998,Male,51,92,67
999,Male,56,24,24
1000,Male,40,37,27
